x,y,z,resistivity,chargeability
509650,459394,601,102.19,7.33
510571,459017,583,67.67,18.88
509500,459464,607,37.12,18.33
511159,459300,586,703.3,16.97
510020,459110,587,92.96,19.71
511162,458951,572,956.38,17.45
510719,459039,575,472.09,22.96
510050,459445,611,737.05,14.13
509767,459169,595,60.81,16.39
510719,459039,575,179.33,20.06
509992,459100,589,410.4,15.54
509770,459110,624,87.66,20.79
510070,459110,591,97.21,11.96
510072,459191,596,418.52,17.23
510270,459090,600,108.56,14.3
510012,459350,604,951.15,17.91
510010,459200,593,586.81,15.94
511070,459019,576,428.2,15.6
509870,459169,591,532.61,13.29
509770,459110,624,62.39,24.48
509991,459250,600,132.62,16.18
510010,459450,609,1073.3,14.59
510012,459300,597,191.89,20.15
511021,458749,564,875.65,14.83
510010,459450,609,1074.58,13.95
510719,459039,575,626.25,15.49
510220,459170,596,147.59,22.45
510012,459300,597,192.95,21.98
511320,459021,570,453.59,10.11
510150,459400,603,1045.18,16.09
509988,459150,590,715.9,16.18
511124,459251,580,1330.21,17.84
509988,459150,590,704.06,17.76
509820,459110,624,272.01,20.24
511123,459050,575,289.23,17.73
511018,459099,577,1049.48,17.96
509993,459450,610,881.97,14.29
510324,459172,599,290.47,18.33
510200,459398,600,1142.31,16.25
510120,459165,601,209.99,22.68
510011,459400,608,358.7,9.78
509989,459650,611,765.44,19.72
510220,459110,593,53.94,11.28
510270,459170,596,119.61,20.28
511159,459100,578,223.75,11.05
510120,459165,601,300.13,16.45
511162,458951,572,952.72,15.86
511020,459042,577,521.12,13.45
511120,459302,580,191.11,13.1
510171,459191,594,148.46,22.9
509600,459458,609,60.71,19.78
510072,459191,596,185.61,22.65
510011,459400,608,347.45,14.29
510719,459039,575,178.7,20.24
510050,459445,611,611.02,13.14
510220,459099,601,67.01,24.23
509650,459454,604,190.17,15.17
509800,459444,604,59.26,27.9
510070,459090,607,37.15,17.22
509767,459169,595,59.06,17.2
509850,459400,600,65.57,28.98
509775,459194,600,57.4,21.7
511016,459296,594,617.85,17.49
511124,459251,580,950.78,16.05
510011,459501,610,225.7,13.14
509770,459090,658,102.07,25.64
509700,459396,601,95.8,14.77
509990,459350,606,906.01,15.41
509989,459650,611,174.45,18.66
509550,459458,620,85.44,14.44
511018,459099,577,403.81,16.51
511071,459043,576,689.63,13.46
511125,458850,568,254.14,13.04
509770,459110,624,72.3,26.83
509823,459192,598,147.11,13.89
510012,459300,597,365.42,10.72
509991,459800,612,49.99,25.22
509870,459090,651,284.57,9.91
511160,459200,578,375.45,18.77
509950,459399,606,492.75,14.82
509974,459190,595,294.4,16.74
510020,459110,587,37.85,20.37
510011,459400,608,663.11,12.42
511120,459302,580,933.27,19.0
510466,459173,600,478.52,14.1
510817,459036,571,199.43,12.59
509970,459110,625,417.4,13.41
510570,459110,593,122.0,20.89
509824,459167,594,75.82,20.8
510569,459039,586,378.84,12.8
510772,459060,581,299.86,28.18
509991,459500,612,1091.62,18.1
510120,459090,607,24.83,6.59
511018,459099,577,1637.91,15.88
509550,459458,620,140.31,11.76
511221,459020,575,860.5,14.09
510420,459110,601,175.28,17.83
510050,459445,611,1078.43,14.91
510020,459090,632,37.23,17.34
511170,459060,578,694.62,14.43
511013,458849,567,961.45,14.37
509919,459191,589,108.86,16.77
511133,458904,570,167.72,13.28
510011,459750,610,46.8,22.01
509925,459165,583,512.97,14.12
509992,459600,612,442.33,15.2
509775,459194,600,38.57,22.49
510571,459017,583,310.37,10.19
510923,459037,581,1180.07,15.05
511129,459001,572,722.47,15.21
509550,459458,620,19.7,21.69
510300,459448,602,983.69,15.62
511125,459201,579,1386.92,17.8
510872,459059,578,508.58,14.04
510370,459090,601,266.96,22.35
510020,459110,587,219.0,18.15
511010,458900,569,1902.6,12.92
509950,459441,605,728.83,19.71
511013,458849,567,749.95,13.01
510270,459090,600,23.58,23.32
509700,459396,601,159.43,14.95
511022,459402,590,567.29,15.51
510770,459017,575,552.93,21.31
510625,459011,582,407.16,17.03
509991,459500,612,492.15,16.27
509986,459300,601,654.4,15.24
510770,459039,578,108.83,13.96
510010,459450,609,848.59,13.37
510571,459017,583,304.78,14.68
510011,459800,612,206.85,26.96
510122,459191,595,312.09,21.66
511163,459600,592,761.07,15.27
510571,459190,595,631.88,14.49
511221,459060,577,528.46,13.51
511135,458951,569,936.3,12.34
510470,459110,598,94.94,14.18
511160,458851,570,923.01,15.69
511372,459061,573,1443.63,12.02
510870,459035,578,568.51,12.3
511020,459042,577,371.17,11.84
510220,459095,601,36.51,23.87
510050,459445,611,1092.04,12.02
510676,459019,581,514.05,18.21
511013,458849,567,593.7,12.29
510621,459055,583,1561.83,15.92
510270,459090,600,106.98,14.82
510012,459300,597,191.12,3.68
511170,459037,574,1093.28,15.3
510625,459011,582,1189.66,14.71
510817,459036,571,199.52,13.96
511020,459150,581,988.09,17.82
511123,458802,569,1036.17,19.13
509974,459190,595,658.29,18.45
510011,459501,610,778.44,15.95
509875,459190,595,377.72,14.93
510320,459090,599,84.33,21.18
510068,459164,593,606.59,18.27
510000,459398,610,409.14,11.82
510000,459398,610,255.8,17.15
510122,459191,595,313.37,20.36
509601,459395,602,41.8,13.54
511129,459001,572,386.52,17.52
511162,458951,572,514.53,19.41
510621,459055,583,262.18,8.66
509500,459464,607,24.31,20.34
510676,459019,581,290.33,19.39
510050,459445,611,787.34,13.21
509850,459441,600,86.22,25.34
510872,459059,578,1003.8,13.39
510010,459900,609,53.9,26.68
509875,459190,595,59.1,11.95
510012,459300,597,431.69,13.3
509991,459550,614,463.14,15.04
511120,459302,580,1427.65,15.85
511120,459058,578,600.4,18.54
509823,459192,598,112.11,19.08
511070,459019,576,523.72,16.26
509990,459350,606,260.71,14.37
510270,459170,596,224.82,17.12
510122,459191,595,210.21,21.56
510012,459350,604,529.16,13.06
509500,459464,607,57.61,11.23
510011,459750,610,57.41,19.95
510012,459250,595,161.95,12.51
510817,459036,571,361.87,13.56
510012,459100,590,417.31,15.73
511124,459154,577,396.51,15.04
509925,459165,583,320.01,15.87
509820,459110,624,154.15,18.87
511013,458849,567,747.23,12.68
510817,459036,571,281.98,17.0
511016,459050,576,1055.73,17.71
511320,459037,574,416.97,10.41
511070,459019,576,556.49,13.38
509970,459110,625,183.76,18.74
509500,459464,607,57.76,11.53
510921,459063,579,562.09,13.6
510050,459398,608,634.31,13.08
509920,459090,636,462.54,15.87
509650,459394,601,123.16,14.7
510120,459165,601,79.58,12.93
510170,459090,601,72.4,19.71
510220,459188,596,171.23,21.35
