x,y,z,resistivity,chargeability,profil_id
510168,459163,595,200.31,20.52,profil 10
510168,459163,595,159.13,21.87,profil 10
510168,459163,595,131.68,22.84,profil 10
510168,459163,595,85.43,20.36,profil 10
510168,459163,595,78.27,21.64,profil 10
510168,459163,595,83.41,12.87,profil 10
510220,459170,596,173.22,11.34,profil 10
510220,459170,596,216.28,13.1,profil 10
510220,459170,596,201.12,17.98,profil 10
510220,459170,596,207.27,18.69,profil 10
510220,459170,596,172.52,15.91,profil 10
510220,459170,596,149.05,26.72,profil 10
510220,459170,596,99.4,16.86,profil 10
510220,459170,596,84.1,20.19,profil 10
510220,459170,596,95.47,19.82,profil 10
510220,459170,596,150.41,13.64,profil 10
510220,459170,596,172.52,11.3,profil 10
510220,459170,596,215.43,13.08,profil 10
510220,459170,596,200.38,17.49,profil 10
510220,459170,596,206.46,19.69,profil 10
510220,459170,596,172.3,20.95,profil 10
510220,459170,596,147.59,22.45,profil 10
510220,459170,596,98.7,22.5,profil 10
510220,459170,596,83.97,17.51,profil 10
510220,459170,596,95.03,25.67,profil 10
510220,459170,596,150.02,18.32,profil 10
510270,459170,596,216.96,12.75,profil 10
510270,459170,596,224.82,17.12,profil 10
510270,459170,596,253.72,18.06,profil 10
510270,459170,596,227.11,20.17,profil 10
510270,459170,596,208.19,22.94,profil 10
510270,459170,596,129.81,23.83,profil 10
510270,459170,596,215.58,12.91,profil 10
510270,459170,596,223.41,17.06,profil 10
510270,459170,596,252.12,18.1,profil 10
510270,459170,596,225.77,19.84,profil 10
510270,459170,596,207.55,21.0,profil 10
510270,459170,596,129.94,16.37,profil 10
510270,459170,596,119.61,20.28,profil 10
510270,459170,596,293.34,17.69,profil 10
510270,459170,596,215.16,12.83,profil 10
510270,459170,596,222.94,17.04,profil 10
510270,459170,596,251.6,18.11,profil 10
510270,459170,596,225.13,20.02,profil 10
510270,459170,596,206.08,21.71,profil 10
510270,459170,596,128.92,20.39,profil 10
510270,459170,596,118.59,19.62,profil 10
510270,459170,596,122.48,17.87,profil 10
510270,459170,596,211.23,20.36,profil 10
510324,459172,599,205.77,20.11,profil 10
510324,459172,599,263.34,15.81,profil 10
510324,459172,599,178.23,15.47,profil 10
510324,459172,599,163.96,18.2,profil 10
510324,459172,599,167.26,17.64,profil 10
510324,459172,599,290.47,18.33,profil 10
510324,459172,599,204.93,20.02,profil 10
510324,459172,599,262.28,15.87,profil 10
510324,459172,599,291.29,17.98,profil 10
510324,459172,599,220.38,18.87,profil 10
510324,459172,599,177.82,16.94,profil 10
510324,459172,599,163.3,20.2,profil 10
510324,459172,599,166.59,18.48,profil 10
510324,459172,599,289.58,18.76,profil 10
510370,459170,598,329.76,21.62,profil 10
510370,459170,598,311.21,17.28,profil 10
510370,459170,598,295.2,17.86,profil 10
510370,459170,598,212.96,15.71,profil 10
510370,459170,598,203.88,17.6,profil 10
510370,459170,598,220.52,17.39,profil 10
510370,459170,598,363.37,17.79,profil 10
510370,459170,598,329.01,21.61,profil 10
510370,459170,598,310.52,17.34,profil 10
510370,459170,598,294.51,17.71,profil 10
510370,459170,598,212.58,15.57,profil 10
510370,459170,598,203.93,16.37,profil 10
510370,459170,598,220.19,16.97,profil 10
510370,459170,598,362.76,17.62,profil 10
510415,459173,593,626.04,20.5,profil 10
510415,459173,593,494.1,18.36,profil 10
510415,459173,593,351.14,15.03,profil 10
510415,459173,593,294.19,17.48,profil 10
510415,459173,593,298.64,20.18,profil 10
510415,459173,593,472.61,17.46,profil 10
510415,459173,593,625.87,20.48,profil 10
510415,459173,593,493.91,18.39,profil 10
510415,459173,593,350.99,15.02,profil 10
510415,459173,593,294.11,16.94,profil 10
510415,459173,593,298.43,18.2,profil 10
510415,459173,593,472.97,19.55,profil 10
510466,459173,600,733.42,21.69,profil 10
510466,459173,600,478.52,14.1,profil 10
510466,459173,600,382.19,14.65,profil 10
510466,459173,600,371.28,15.55,profil 10
510466,459173,600,565.21,18.49,profil 10
510521,459173,606,400.22,14.29,profil 10
510521,459173,606,382.94,10.57,profil 10
510521,459173,606,584.92,21.69,profil 10
510521,459173,606,511.77,19.26,profil 10
510521,459173,606,399.78,13.86,profil 10
510521,459173,606,384.9,14.48,profil 10
510521,459173,606,579.72,17.93,profil 10
510572,459172,596,451.0,18.64,profil 10
510572,459172,596,380.93,14.16,profil 10
510572,459172,596,560.45,17.27,profil 10
510623,459171,592,577.78,17.27,profil 10
510623,459171,592,682.22,15.44,profil 10
510671,459171,585,677.58,19.76,profil 10
509775,459194,600,38.7,21.69,profil 11
509775,459194,600,77.17,20.66,profil 11
509775,459194,600,85.35,20.97,profil 11
509775,459194,600,57.4,21.7,profil 11
509775,459194,600,60.37,17.79,profil 11
509775,459194,600,38.57,22.49,profil 11
509775,459194,600,76.31,20.47,profil 11
509775,459194,600,84.56,20.21,profil 11
509775,459194,600,56.65,18.18,profil 11
509775,459194,600,60.15,22.92,profil 11
509775,459194,600,58.34,11.77,profil 11
509775,459194,600,54.15,20.78,profil 11
509775,459194,600,50.45,25.98,profil 11
509775,459194,600,38.66,22.32,profil 11
509775,459194,600,75.83,20.14,profil 11
509775,459194,600,84.11,19.93,profil 11
509775,459194,600,56.95,18.49,profil 11
509775,459194,600,60.45,20.21,profil 11
509775,459194,600,58.72,18.45,profil 11
509823,459192,598,309.35,14.19,profil 11
509823,459192,598,358.42,12.75,profil 11
509823,459192,598,146.67,13.47,profil 11
509823,459192,598,112.62,11.11,profil 11
509823,459192,598,308.98,13.75,profil 11
509823,459192,598,358.79,13.26,profil 11
509823,459192,598,146.93,14.53,profil 11
509823,459192,598,112.11,19.08,profil 11
509823,459192,598,307.72,14.05,profil 11
509823,459192,598,357.43,12.74,profil 11
